#sample	n_reads
SRL32.1	1209718
SRL32.2	622582
SRL32.3	1832967
SRL32.4	1075846
SRL32.5	943737
SRL32.6	1294104
SRL32.7	464273
SRL32.8	1463245
SRL33.1	954271
SRL33.2	1183440
SRL33.3	1476853
SRL33.4	1268613
SRL33.5	954658
SRL33.6	1616451
SRL33.7	1072570
SRL33.8	1956330
SRL34.1	1084782
SRL34.2	860400
SRL34.3	442522
SRL34.4	1436586
SRL34.5	1318636
SRL34.6	1326493
SRL34.7	1564786
SRL34.8	1868235
YAV1.1	1126736
YAV1.2	1035384
YAV1.3	1107679
YAV1.4	1120057
YAV1.5	914155
YAV1.6	1107781
YAV4.1	1532222
YAV4.2	1427041
YAV4.3	1076692
YAV4.4	895473
YAV4.5	1606604
YAV4.6	1096501
YAV5.1	1078691
YAV5.2	1428505
YAV5.3	1507889
YAV5.4	1853053
YAV5.5	1161666
YAV5.6	1260287
YAV6.1	651614
YAV6.2	1035599
YAV6.3	1264800
YAV6.4	1075084
YAV6.5	1123725
YAV6.6	1438506
HUX42.1	784663
HUX42.2	813847
HUX42.3	1033410
HUX42.4	979989
HUX42.5	785758
HUX42.6	1349738
HUX42.7	993786
HUX42.8	1548249
HUX44.1	973696
HUX44.2	657598
HUX45.1	1330788
HUX45.2	472007
HUX44.3	946948
HUX44.4	1366608
HUX44.5	1035777
HUX44.6	1262543
HUX44.7	1089929
HUX44.8	1378405
HUX45.3	519116
HUX45.4	1079488
HUX45.5	1051247
HUX45.6	1053266
HUX45.7	1261328
HUX45.8	1327863
NVL61.1	1205930
NVL61.2	893048
NVL61.3	861060
NVL61.4	753057
NVL61.5	943122
NVL61.6	1340585
NVL63.1	1112895
NVL63.2	894534
NVL63.3	952639
NVL63.4	1675769
NVL63.5	3079538
NVL63.6	1083293
NVL64.1	936256
NVL64.2	1190915
NVL64.3	1624687
NVL64.4	1386611
NVL64.5	852080
NVL64.6	1356198
NVL65.1	288190
NVL65.2	1470798
NVL65.3	689938
NVL65.4	546637
NVL65.5	1131167
NVL65.6	1621651
nop.c4	1210775
yai.a7	2472217
vlc.b7	1185939
yai.c7	1744471
isd.c10	1125829
mtc.b4	741904
poc.d10	2559860
poc.a10	1756210
gol.c1	1940221
zag.b1	2906850
mtc.c4	1150980
mtc.a4	1774934
gol.b1	2056591
vlc.e7	1726780
zag.d1	3232327
zag.c1	4730073
isd.a10	1680225
yai.e7	3587367
vlc.h7	952012
poc.a11	2139608
nop.d4	1910583
gol.f1	1626121
isd.d10	813736
nop.b4	3851584
yai.f7	1172730
poc.c11	2318283
yai.a8	1974517
poc.d11	2276303
isd.b11	824802
mtc.b5	1116673
mtc.c5	1240838
gol.b2	1983397
nop.g4	701816
vlc.b8	2018206
zag.h1	1716411
poc.e11	3414348
isd.f10	1786958
gol.g1	3850913
zag.d2	3372268
isd.c11	1713670
mtc.g4	1533720
gol.d2	2157509
vlc.a8	734788
zag.g1	1734680
yai.b8	3856918
nop.a5	2258064
nop.b5	1306031
vlc.c8	1539634
vlc.d8	1195137
zag.a3	1234608
mtc.g5	972965
poc.b12	2577516
nop.a6	1489735
isd.b12	1063153
nop.f5	1960089
nop.b6	3347547
vlc.f8	1748348
zag.f2	2134120
poc.a12	2328758
mtc.f5	1444807
poc.f11	1590486
zag.g2	2865546
gol.h2	1988009
vlc.a9	1598242
gol.e2	2709943
isd.e11	2424242
yai.c8	1265070
isd.c12	2133176
yai.a9	2630211
mtc.a6	1040103
yai.g8	1756549
gol.a3	1789908
vlc.c9	919723
vlc.b9	1997918
gol.h3	1582710
zag.c3	1601941
yai.d9	1394180
zag.g3	1606845
nop.g6	1722762
mtc.d6	2084087
gol.e3	3124368
vlc.f9	986174
poc.d12	2300093
mtc.h6	2401864
poc.f12	2067728
zag.d3	2778426
yai.b9	2430907
isd.d12	2250987
nop.h6	2042776
isd.g12	1763172
gol.d3	15068
isd.e12	1237308
mtc.e6	1805390
nop.e6	3486038
yai.e9	1835793
poc.g12	2014298
